index,lng_bor,area,hor_overl,vrt_overl,clr_score,cluster_clr_score
ISIC_0013319,96207,805944,31253,38551,2,2.288842
ISIC_0013325,34245,453887,5769,6515,2,2.027156
ISIC_0013393,93183,3418713,50256,64948,2,2.393602
ISIC_0013399,39639,616946,10052,14612,2,2.204030
ISIC_0013416,38244,160835,3488,3802,3,2.473996
ISIC_0013421,101640,1834049,67879,96064,2,2.266997
ISIC_0013465,34497,253275,2522,3011,1,2.371290
ISIC_0013511,34191,430713,10691,17562,2,2.315346
ISIC_0013512,26325,100867,1015,2607,2,2.427353
ISIC_0013527,9906,32505,498,1794,2,2.134142
ISIC_0013529,46104,486279,18814,21271,1,2.072207
ISIC_0013561,34458,433861,8646,10675,2,2.065508
ISIC_0013562,51300,679791,20751,10698,1,2.005684
ISIC_0013600,59748,1277609,19600,21319,0,2.247122
ISIC_0013602,33822,429130,15713,18293,0,2.237677
ISIC_0013632,59700,1360717,14901,21433,1,2.405215
ISIC_0013637,59778,789336,23111,14952,2,2.415138
ISIC_0013673,19653,153467,4402,3601,1,2.402345
ISIC_0013708,115077,5790501,588148,581399,2,2.429519
ISIC_0013738,26769,99582,1497,2830,2,2.352052
ISIC_0013764,71184,2119533,63033,53911,2,2.460107
ISIC_0013793,34182,299962,17423,30163,2,2.479344
ISIC_0013794,39885,245062,3759,10981,2,2.359217
ISIC_0013809,91617,3164315,104770,48146,1,2.412685
ISIC_0013863,16638,107841,2894,7957,1,2.400219
ISIC_0013891,18594,135581,2989,2873,2,2.232749
ISIC_0013897,74181,375327,27781,22996,2,2.190726
ISIC_0013898,48042,585089,16564,10580,1,2.387204
ISIC_0013911,39480,176104,5876,7211,2,2.253931
ISIC_0013945,42147,260889,17625,19736,1,2.135172
ISIC_0013966,20949,158570,3724,8748,2,1.939035
ISIC_0013977,29082,318041,7599,10427,1,2.448909
ISIC_0013998,39111,543080,13357,24093,1,2.044660
ISIC_0014006,48420,908167,11845,15080,2,2.392928
ISIC_0014038,79479,1069896,53776,65121,2,2.293187
ISIC_0014055,115575,4039229,95723,91408,2,2.456365
ISIC_0014090,37974,135145,6368,4935,2,2.308445
ISIC_0014117,77013,462607,21683,37866,2,2.240500
ISIC_0014139,61050,805744,21526,41988,2,2.355450
ISIC_0014162,37506,306056,15860,15596,0,2.449700
ISIC_0014177,40548,657916,28269,15037,1,2.104395
ISIC_0014178,54975,573077,40845,32454,2,2.404543
ISIC_0014211,75630,1342298,37286,35210,1,2.067276
ISIC_0014212,129471,6138612,430207,505101,2,2.429819
ISIC_0014251,49293,963505,14285,18128,2,2.305954
ISIC_0014278,32055,410175,7371,5164,1,2.255881
ISIC_0014310,47679,588260,14316,9887,2,2.109972
ISIC_0014382,97482,2722414,160281,170036,2,2.381529
ISIC_0014386,95130,3421886,81116,66592,1,2.059170
ISIC_0014392,88632,3046505,68100,104835,2,2.460202
ISIC_0014409,71679,489954,8946,17319,1,2.280172
ISIC_0014419,100188,3640132,26882,197294,1,2.327817
ISIC_0014457,124068,5891372,138859,167049,1,2.418052
ISIC_0014470,54660,696188,25434,16089,1,1.971084
ISIC_0014474,69318,1929712,43126,29038,1,2.325778
ISIC_0014500,91179,3371960,53874,59457,1,1.938179
ISIC_0014503,59667,1452897,11707,23264,1,2.391077
ISIC_0014567,65808,503928,8111,13254,2,2.207422
ISIC_0014568,34077,477441,4334,12779,1,2.072551
ISIC_0014572,27315,272899,8880,7748,2,2.056876
ISIC_0014574,41532,173155,10529,9937,1,2.268735
ISIC_0014575,47364,233218,18026,9603,0,2.234936
ISIC_0014586,101586,3990326,95972,64166,2,2.137039
ISIC_0014587,51153,201892,14443,7270,1,2.391810
ISIC_0014588,15243,42229,744,1207,2,2.363613
ISIC_0014590,17121,100456,2549,2254,2,2.257116
ISIC_0014597,13413,59486,1192,1220,1,1.860424
ISIC_0014600,50295,226428,12383,8335,2,2.165902
ISIC_0014601,43479,726558,30331,12559,1,2.371112
ISIC_0014608,49440,800369,46399,51510,1,2.031963
ISIC_0014790,190986,22319470,2167350,2104363,2,2.515211
ISIC_0014795,133185,5506750,303983,461843,3,2.415205
ISIC_0014800,294174,8016537,555554,382892,2,2.076351
ISIC_0014809,156996,4790726,124896,159919,3,2.453587
ISIC_0014826,189798,13786148,170264,219334,3,2.455971
ISIC_0014832,221067,7857928,795088,360570,2,2.154756
ISIC_0014857,242277,16802519,605834,658775,2,2.425832
ISIC_0014862,847875,11987188,626194,1539986,2,2.443336
ISIC_0014872,192804,17792717,556331,305454,2,2.425935
ISIC_0014883,406761,10013170,508097,820511,3,2.413978
ISIC_0014891,287925,15721069,456882,433126,2,2.457582
ISIC_0014897,159582,6472536,93339,147855,3,2.517703
ISIC_0014912,303,11568585,1760618,1398614,2,2.305673
ISIC_0014919,124242,5241528,99826,67436,2,2.451597
ISIC_0014920,135567,3891086,63442,58467,3,2.283251
